Name,Type,collecting-iterations,tree-iterations,average-precision,recall
Evaluation/All/log_1_100_40_15_30_3_12_4742_FLOAT_M_usingTree.txt,PSteering,4,42,0.8616666666666666,0.7933361450864614
Evaluation/All/log_1_100_40_15_30_3_12_4742_FLOAT_M_usingTree.txt,PERFECT,0,49,1,1
Evaluation/All/log_4_50_20_10_20_0_3_3180_FLOAT_M_usingTree.txt,PSteering,4,57,0.7150877192982454,0.6625786163522013
Evaluation/All/log_4_50_20_10_20_0_3_3180_FLOAT_M_usingTree.txt,PERFECT,0,65,1,1
Evaluation/All/log_2_100_80_25_30_0_4_1850_FLOAT_M_usingTree.txt,PSteering,9,21,0.6014285714285714,0.7643243243243243
Evaluation/All/log_2_100_80_25_30_0_4_1850_FLOAT_M_usingTree.txt,PERFECT,0,20,1,1
Evaluation/All/log_4_100_60_10_20_0_3_3180_FLOAT_M_NOT_usingTree.txt,Random,5,32,0.1518421052631579,0.18144654088050313
Evaluation/All/log_3_50_80_29_30_1_2_258_FLOAT_M_NOT_usingTree.txt,Random,143,4,0.011891891891891892,0.34108527131782945
Evaluation/All/log_5_100_20_1.2_50.15_3.16_3.9_2920_FLOAT_M_NOT_usingTree.txt,Random,3,35,0.13538461538461538,0.18082191780821918
Evaluation/All/log_5_50_40_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PSteering,7,55,0.6625454545454547,0.6517123287671233
Evaluation/All/log_5_50_40_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PERFECT,0,60,1,1
Evaluation/All/log_2_50_80_25_30_0_4_1850_FLOAT_M_usingTree.txt,PSteering,17,40,0.6369999999999999,0.7518918918918919
Evaluation/All/log_2_50_80_25_30_0_4_1850_FLOAT_M_usingTree.txt,PERFECT,0,37,1,1
Evaluation/All/log_3_150_20_29_30_1_2_258_FLOAT_M_usingTree.txt,PSteering,10,2,0.13,0.40310077519379844
Evaluation/All/log_3_150_20_29_30_1_2_258_FLOAT_M_usingTree.txt,PERFECT,0,3,1,1
Evaluation/All/log_4_100_80_10_20_0_3_3180_FLOAT_M_usingTree.txt,PSteering,5,33,0.6733333333333335,0.7474842767295597
Evaluation/All/log_4_100_80_10_20_0_3_3180_FLOAT_M_usingTree.txt,PERFECT,0,33,1,1
Evaluation/All/log_1_100_60_15_30_3_12_4742_FLOAT_M_usingTree.txt,PSteering,5,45,0.8484444444444444,0.8384647827920708
Evaluation/All/log_1_100_60_15_30_3_12_4742_FLOAT_M_usingTree.txt,PERFECT,0,49,1,1
Evaluation/All/log_1_150_20_15_30_3_12_4742_FLOAT_M_NOT_usingTree.txt,Random,2,31,0.19450980392156864,0.20919443272880642
Evaluation/All/log_5_50_40_1.2_50.15_3.16_3.9_2920_FLOAT_M_NOT_usingTree.txt,Random,7,55,0.13714285714285715,0.14794520547945206
Evaluation/All/log_3_100_80_29_30_1_2_258_FLOAT_M_usingTree.txt,PSteering,72,2,0.215,0.6744186046511628
Evaluation/All/log_3_100_80_29_30_1_2_258_FLOAT_M_usingTree.txt,PERFECT,0,4,1,1
Evaluation/All/log_4_150_60_10_20_0_3_3180_FLOAT_M_usingTree.txt,PSteering,4,22,0.6618181818181816,0.7474842767295597
Evaluation/All/log_4_150_60_10_20_0_3_3180_FLOAT_M_usingTree.txt,PERFECT,0,23,1,1
Evaluation/All/log_3_150_40_29_30_1_2_258_FLOAT_M_usingTree.txt,PSteering,23,2,0.13,0.5387596899224806
Evaluation/All/log_3_150_40_29_30_1_2_258_FLOAT_M_usingTree.txt,PERFECT,0,3,1,1
Evaluation/All/log_3_50_40_29_30_1_2_258_FLOAT_M_NOT_usingTree.txt,Random,67,5,0.012602739726027398,0.17829457364341086
Evaluation/All/log_1_150_80_15_30_3_12_4742_FLOAT_M_NOT_usingTree.txt,Random,4,30,0.1956190476190476,0.21657528469000423
Evaluation/All/log_4_150_60_10_20_0_3_3180_FLOAT_M_NOT_usingTree.txt,Random,4,22,0.15012345679012346,0.19119496855345913
Evaluation/All/log_4_150_40_10_20_0_3_3180_FLOAT_M_usingTree.txt,PSteering,3,23,0.6365217391304347,0.7415094339622641
Evaluation/All/log_4_150_40_10_20_0_3_3180_FLOAT_M_usingTree.txt,PERFECT,0,23,1,1
Evaluation/All/log_6_150_20_37.69_38.38_1.78_2.71_0_FLOAT_M_usingTree.txt,PERFECT,0,0,1,1
Evaluation/All/log_5_150_20_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PSteering,2,23,0.5475362318840579,0.6883561643835616
Evaluation/All/log_5_150_20_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PERFECT,0,21,1,1
Evaluation/All/log_5_100_60_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PSteering,6,25,0.6556000000000001,0.6089041095890411
Evaluation/All/log_5_100_60_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PERFECT,0,31,1,1
Evaluation/All/log_2_50_80_25_30_0_4_1850_FLOAT_M_NOT_usingTree.txt,Random,17,40,0.08758620689655172,0.1372972972972973
Evaluation/All/log_4_150_20_10_20_0_3_3180_FLOAT_M_usingTree.txt,PSteering,2,19,0.6971929824561404,0.669496855345912
Evaluation/All/log_4_150_20_10_20_0_3_3180_FLOAT_M_usingTree.txt,PERFECT,0,23,1,1
Evaluation/All/log_1_150_80_15_30_3_12_4742_FLOAT_M_usingTree.txt,PSteering,4,30,0.8391111111111111,0.8424715309995783
Evaluation/All/log_1_150_80_15_30_3_12_4742_FLOAT_M_usingTree.txt,PERFECT,0,33,1,1
Evaluation/All/log_4_50_80_10_20_0_3_3180_FLOAT_M_NOT_usingTree.txt,Random,9,65,0.15333333333333332,0.18081761006289307
Evaluation/All/log_5_100_80_1.2_50.15_3.16_3.9_2920_FLOAT_M_NOT_usingTree.txt,Random,8,27,0.13583333333333333,0.16746575342465753
Evaluation/All/log_6_50_40_37.69_38.38_1.78_2.71_0_FLOAT_M_usingTree.txt,PERFECT,0,0,1,1
Evaluation/All/log_2_100_20_25_30_0_4_1850_FLOAT_M_NOT_usingTree.txt,Random,3,17,0.08904761904761904,0.10108108108108108
Evaluation/All/log_1_100_40_15_30_3_12_4742_FLOAT_M_NOT_usingTree.txt,Random,4,42,0.19489361702127658,0.19316743989877688
Evaluation/All/log_3_100_40_29_30_1_2_258_FLOAT_M_usingTree.txt,PSteering,34,3,0.16333333333333333,0.5155038759689923
Evaluation/All/log_3_100_40_29_30_1_2_258_FLOAT_M_usingTree.txt,PERFECT,0,4,1,1
Evaluation/All/log_3_150_60_29_30_1_2_258_FLOAT_M_NOT_usingTree.txt,Random,35,2,0.012105263157894737,0.26744186046511625
Evaluation/All/log_3_100_20_29_30_1_2_258_FLOAT_M_NOT_usingTree.txt,Random,14,3,0.015,0.10465116279069768
Evaluation/All/log_5_100_60_1.2_50.15_3.16_3.9_2920_FLOAT_M_NOT_usingTree.txt,Random,6,25,0.1359375,0.14897260273972604
Evaluation/All/log_5_100_40_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PSteering,4,27,0.6251851851851853,0.6178082191780822
Evaluation/All/log_5_100_40_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PERFECT,0,31,1,1
Evaluation/All/log_2_150_80_25_30_0_4_1850_FLOAT_M_usingTree.txt,PSteering,7,12,0.6566666666666666,0.7416216216216216
Evaluation/All/log_2_150_80_25_30_0_4_1850_FLOAT_M_usingTree.txt,PERFECT,0,14,1,1
Evaluation/All/log_1_150_40_15_30_3_12_4742_FLOAT_M_usingTree.txt,PSteering,3,28,0.8373809523809522,0.7808941374947279
Evaluation/All/log_1_150_40_15_30_3_12_4742_FLOAT_M_usingTree.txt,PERFECT,0,33,1,1
Evaluation/All/log_4_100_80_10_20_0_3_3180_FLOAT_M_NOT_usingTree.txt,Random,5,33,0.15076923076923077,0.18490566037735848
Evaluation/All/log_2_150_40_25_30_0_4_1850_FLOAT_M_NOT_usingTree.txt,Random,4,12,0.08627450980392157,0.11891891891891893
Evaluation/All/log_3_150_20_29_30_1_2_258_FLOAT_M_NOT_usingTree.txt,Random,10,2,0.014358974358974359,0.10852713178294573
Evaluation/All/log_3_100_60_29_30_1_2_258_FLOAT_M_NOT_usingTree.txt,Random,51,2,0.012037037037037037,0.25193798449612403
Evaluation/All/log_5_150_40_1.2_50.15_3.16_3.9_2920_FLOAT_M_NOT_usingTree.txt,Random,3,19,0.13478260869565217,0.15924657534246575
Evaluation/All/log_2_50_60_25_30_0_4_1850_FLOAT_M_NOT_usingTree.txt,Random,13,37,0.08627450980392157,0.11891891891891893
Evaluation/All/log_5_50_60_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PSteering,11,48,0.6841666666666666,0.5955479452054795
Evaluation/All/log_5_50_60_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PERFECT,0,60,1,1
Evaluation/All/log_3_50_60_29_30_1_2_258_FLOAT_M_usingTree.txt,PSteering,101,4,0.255,0.5348837209302325
Evaluation/All/log_3_50_60_29_30_1_2_258_FLOAT_M_usingTree.txt,PERFECT,0,7,1,1
Evaluation/All/log_2_150_20_25_30_0_4_1850_FLOAT_M_NOT_usingTree.txt,Random,3,13,0.08627450980392157,0.11891891891891893
Evaluation/All/log_1_150_20_15_30_3_12_4742_FLOAT_M_usingTree.txt,PSteering,2,31,0.8066666666666665,0.8224377899620413
Evaluation/All/log_1_150_20_15_30_3_12_4742_FLOAT_M_usingTree.txt,PERFECT,0,33,1,1
Evaluation/All/log_2_100_20_25_30_0_4_1850_FLOAT_M_usingTree.txt,PSteering,3,17,0.601764705882353,0.6005405405405405
Evaluation/All/log_2_100_20_25_30_0_4_1850_FLOAT_M_usingTree.txt,PERFECT,0,20,1,1
Evaluation/All/log_4_50_80_10_20_0_3_3180_FLOAT_M_usingTree.txt,PSteering,9,65,0.6898461538461538,0.7427672955974842
Evaluation/All/log_4_50_80_10_20_0_3_3180_FLOAT_M_usingTree.txt,PERFECT,0,65,1,1
Evaluation/All/log_5_150_80_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PSteering,6,17,0.6729411764705882,0.660958904109589
Evaluation/All/log_5_150_80_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PERFECT,0,21,1,1
Evaluation/All/log_4_50_60_10_20_0_3_3180_FLOAT_M_NOT_usingTree.txt,Random,8,67,0.1518421052631579,0.18144654088050313
Evaluation/All/log_3_100_20_29_30_1_2_258_FLOAT_M_usingTree.txt,PSteering,14,3,0.18666666666666668,0.40310077519379844
Evaluation/All/log_3_100_20_29_30_1_2_258_FLOAT_M_usingTree.txt,PERFECT,0,4,1,1
Evaluation/All/log_2_100_40_25_30_0_4_1850_FLOAT_M_NOT_usingTree.txt,Random,6,20,0.0874074074074074,0.12756756756756757
Evaluation/All/log_4_150_80_10_20_0_3_3180_FLOAT_M_NOT_usingTree.txt,Random,4,22,0.15012345679012346,0.19119496855345913
Evaluation/All/log_2_100_40_25_30_0_4_1850_FLOAT_M_usingTree.txt,PSteering,6,20,0.643,0.7594594594594595
Evaluation/All/log_2_100_40_25_30_0_4_1850_FLOAT_M_usingTree.txt,PERFECT,0,20,1,1
Evaluation/All/log_1_100_60_15_30_3_12_4742_FLOAT_M_NOT_usingTree.txt,Random,5,45,0.19450980392156864,0.20919443272880642
Evaluation/All/log_2_100_60_25_30_0_4_1850_FLOAT_M_usingTree.txt,PSteering,7,19,0.6721052631578947,0.7605405405405405
Evaluation/All/log_2_100_60_25_30_0_4_1850_FLOAT_M_usingTree.txt,PERFECT,0,20,1,1
Evaluation/All/log_3_150_80_29_30_1_2_258_FLOAT_M_usingTree.txt,PSteering,49,2,0.04666666666666667,0.689922480620155
Evaluation/All/log_3_150_80_29_30_1_2_258_FLOAT_M_usingTree.txt,PERFECT,0,3,1,1
